Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3,CUCB
912,14,11,21,22
913,15,16,18,23
914,12,12,24,25
915,18,11,21,24
916,15,19,21,21
917,14,13,17,21
918,19,18,20,24
919,14,11,19,22
920,15,11,17,23
921,13,20,23,22
922,13,13,25,27
923,11,11,19,20
924,12,10,21,24
925,18,19,21,18
926,20,24,18,21
927,12,12,18,19
928,15,13,21,21
929,16,15,18,24
930,11,10,23,23
931,19,14,18,23
932,19,24,20,23
933,10,10,23,24
934,14,13,21,25
935,12,11,22,28
936,11,13,24,22
937,21,10,21,26
938,13,15,22,20
939,12,12,20,21
940,14,17,24,24
941,13,19,18,28
942,11,16,22,26
943,12,15,17,22
944,18,13,23,25
945,16,13,17,25
946,11,13,18,22
947,14,11,18,25
948,14,13,19,23
949,11,16,16,23
950,10,14,21,25
951,19,17,24,28
952,15,14,20,28
953,13,11,20,22
954,10,11,19,24
955,14,11,18,24
956,12,15,20,22
957,22,20,18,22
958,22,21,20,24
959,15,10,23,24
960,12,13,21,32
961,11,11,23,21
962,14,14,22,23
963,20,15,16,19
964,13,19,19,22
965,10,13,17,22
966,11,11,19,23
967,10,16,23,22
968,12,16,20,20
969,11,17,21,19
970,17,11,22,24
971,15,15,20,27
972,11,17,24,21
973,14,13,24,24
974,16,14,18,22
975,12,12,19,23
976,12,21,19,26
977,15,16,20,26
978,14,20,21,26
979,19,10,20,20
980,13,14,18,19
981,16,14,21,22
982,16,15,20,26
983,21,14,24,31
984,11,12,16,19
985,11,11,21,23
986,11,18,19,22
987,24,12,22,21
988,14,19,17,30
989,18,14,18,26
990,18,21,24,20
991,19,20,22,20
992,14,17,18,21
993,15,11,21,19
994,12,13,19,22
995,16,17,22,25
996,18,11,16,22
997,12,12,17,23
998,13,16,21,21
999,23,11,18,21
