Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3
1129,5,5,5
1130,5,12,5
1131,6,5,6
1132,12,6,5
1133,6,5,5
1134,8,5,10
1135,5,6,6
1136,6,14,8
1137,6,5,6
1138,5,13,5
1139,5,12,5
1140,5,5,6
1141,6,5,5
1142,11,5,5
1143,5,11,6
1144,6,5,9
1145,11,5,6
1146,7,6,5
1147,6,8,5
1148,5,7,6
1149,5,5,6
1150,6,6,5
1151,8,5,6
1152,6,6,7
1153,6,5,7
1154,6,5,5
1155,5,7,5
1156,6,10,5
1157,5,7,5
1158,5,15,5
1159,5,6,6
1160,5,5,10
1161,5,5,5
1162,5,6,5
1163,5,5,6
1164,7,6,7
1165,5,6,16
1166,5,5,5
1167,5,5,6
1168,12,5,6
1169,6,8,7
1170,7,6,6
1171,6,13,17
1172,10,10,5
1173,13,6,8
1174,6,17,6
1175,5,17,5
1176,5,8,10
1177,8,10,5
1178,6,12,10
1179,11,10,10
1180,5,8,5
1181,5,6,7
1182,8,5,7
1183,13,9,6
1184,5,5,5
1185,5,7,5
1186,11,6,6
1187,10,5,6
1188,5,14,5
1189,5,7,5
1190,7,5,5
1191,13,7,5
1192,5,14,14
1193,7,5,5
1194,12,5,7
1195,12,7,7
1196,5,7,5
1197,5,5,7
1198,6,6,7
1199,6,11,5
1200,7,6,9
1201,14,6,15
1202,6,6,16
1203,5,7,6
1204,6,6,5
1205,6,6,5
1206,5,5,14
1207,10,8,5
1208,10,11,6
1209,5,9,5
1210,5,7,5
1211,7,5,20
1212,5,5,5
1213,5,7,5
1214,5,5,6
1215,6,5,12
1216,5,5,7
1217,7,7,7
1218,6,6,5
1219,6,6,6
1220,11,8,5
1221,7,6,13
1222,6,5,10
1223,7,5,5
1224,7,5,5
1225,5,5,6
1226,8,7,15
1227,5,5,6
1228,6,6,6
1229,5,8,5
1230,5,7,6
1231,5,17,6
1232,5,5,13
1233,5,5,6
1234,5,8,6
1235,6,8,12
1236,5,6,5
1237,6,5,7
1238,6,6,5
1239,6,5,6
1240,10,5,6
1241,5,7,5
1242,5,5,5
1243,8,5,5
1244,12,6,5
1245,7,14,5
1246,6,5,6
1247,5,5,6
1248,7,5,7
1249,8,6,5
1250,7,6,5
1251,5,6,18
1252,6,6,5
1253,6,5,5
1254,5,7,7
1255,6,5,5
1256,5,5,6
1257,5,5,5
1258,9,5,6
1259,5,6,7
1260,5,5,5
1261,5,17,5
1262,5,7,5
1263,5,6,5
1264,10,16,5
1265,11,5,5
1266,5,8,10
1267,8,5,6
1268,9,5,8
1269,5,11,17
1270,6,10,5
1271,6,5,8
1272,5,5,6
1273,5,5,5
1274,6,10,5
1275,5,5,8
1276,6,9,8
1277,9,6,5
1278,7,5,5
1279,5,5,5
1280,6,14,5
1281,6,5,5
1282,6,5,5
1283,6,5,7
1284,5,9,8
1285,6,5,5
1286,5,6,6
1287,5,6,5
1288,6,5,5
1289,5,5,7
1290,7,6,5
1291,5,5,8
1292,12,5,5
1293,7,5,7
1294,5,5,5
1295,5,5,12
1296,5,7,5
1297,6,10,5
1298,6,6,6
1299,6,5,10
1300,7,5,6
1301,6,5,5
1302,5,5,7
1303,5,11,5
1304,6,5,5
1305,5,6,9
1306,5,5,5
1307,5,6,5
1308,6,6,6
1309,6,5,5
1310,7,5,5
1311,6,6,6
1312,5,5,13
1313,5,13,7
1314,6,5,21
1315,7,5,7
1316,5,5,6
1317,11,6,5
1318,5,10,9
1319,6,5,6
1320,5,5,6
1321,5,8,5
1322,6,5,5
1323,7,10,5
1324,6,15,5
1325,12,6,7
1326,5,5,5
1327,6,8,6
1328,6,5,6
1329,8,5,5
1330,5,5,5
1331,5,8,6
1332,5,9,5
1333,6,5,5
1334,6,5,6
1335,5,8,6
1336,5,5,10
1337,6,16,6
1338,5,8,7
1339,6,9,5
1340,5,5,6
1341,6,7,14
1342,7,6,5
1343,6,6,5
1344,5,10,5
1345,5,11,5
1346,5,5,15
1347,5,6,6
1348,5,5,14
1349,6,11,5
1350,5,6,5
1351,5,6,6
1352,6,5,6
1353,6,7,5
1354,5,9,7
1355,5,5,5
1356,5,5,6
1357,5,20,5
1358,8,6,5
1359,15,12,5
1360,8,6,5
1361,10,5,5
1362,5,10,10
1363,5,5,6
1364,5,5,10
1365,6,5,5
1366,6,6,5
1367,13,12,5
1368,5,5,5
1369,5,5,5
1370,5,11,5
1371,5,8,17
1372,12,5,5
1373,6,6,5
1374,5,5,5
1375,6,5,12
1376,14,6,6
